method,scenario,nodes,trial,sla_pct
Tavousi-Fuzzy,Burst Load,1000,6,19.049
Tavousi-Fuzzy,Burst Load,1000,7,18.718
Tavousi-Fuzzy,Burst Load,1000,8,18.718
Tavousi-Fuzzy,Burst Load,1000,9,19.049
Tavousi-Fuzzy,Burst Load,1000,10,18.718
Tavousi-Fuzzy,Churn,100,1,22.691
Tavousi-Fuzzy,Churn,100,2,18.976
Tavousi-Fuzzy,Churn,100,3,18.977
Tavousi-Fuzzy,Churn,100,4,22.691
Tavousi-Fuzzy,Churn,100,5,18.976
Tavousi-Fuzzy,Churn,100,6,18.977
Tavousi-Fuzzy,Churn,100,7,22.691
Tavousi-Fuzzy,Churn,100,8,18.976
Tavousi-Fuzzy,Churn,100,9,18.977
Tavousi-Fuzzy,Churn,100,10,22.691
Tavousi-Fuzzy,Churn,300,1,20.036
Tavousi-Fuzzy,Churn,300,2,20.036
Tavousi-Fuzzy,Churn,300,3,18.885
Tavousi-Fuzzy,Churn,300,4,20.036
Tavousi-Fuzzy,Churn,300,5,20.036
Tavousi-Fuzzy,Churn,300,6,18.885
